Summary,Issue key,Issue Type,Project key,Project name,Components,Labels,Description,Outward issue link (Relates),Custom field (Content Type),Custom field (Issue Code),Platforms,Populations,Custom field (Recommended Code),Custom field (Reference(s)),Custom field (Remediation Guidance),Custom field (Severity),WCAG SC,Custom field (Youtube Video URL)
Heading block uses a counter-intuitive icon,GUT-102,Warning,GUT,Gutenberg,Block Editing   , ,"The ""Block Type"" menu, and block editor type button, use icons for each block, and in most cases these are good representations of the block. However the ""Heading"" block type uses the letter ""T"", which is potentially confusing, since ""Heading"" doesn't start with ""T"".

Users with cognitive disabilities, especially those who are more icon-reliant, may mistake the heading type for something else (such as ""Table"" or ""Text""), especially in cases where only the icon is visible (such as in the block editor button, or when the ""Block Type"" menu list is scrolled so that only the icon is visible).

  ",,Other,,All/ Universal,Cognitively Impaired; Low-Vision ,,,"Use the letter ""H"" as the icon for the Heading block type. This also matches the other H icons used for setting the level (H2, H3, etc.).",Low,1.3.3 Sensory Characteristics (Level A)  ,
Menu remains open after actions which moves focus,GUT-101,Bug,GUT,Gutenberg,Block Options   ,Keyboard ,"When the Unified Toolbar is being used, the Options menu remains open after triggering an action that causes the keyboard focus to be moved to the edit area. This results in a situation where the focus position might be underneath the menu. The actions of duplicating a block, inserting new content before or after a block, or removing a block, all have this behaviour.

Obscuring the focus position is potentially confusing for sighted keyboard users, since it may appear as though no item has focus, or make it unclear as to where the focus position is. Additionally it is simply difficult to view the content and moving keyboard focus to and from the toolbar is cumbersome.

",,Keyboard Accessibility and Focus Control,,All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,,,"Whenever an action in the Options menu causes the focus to move, the menu should close automatically.",Medium,2.1.1 Keyboard (Level A); 2.4.7 Focus Visible (Level AA) ; ,
Selected block outline has insufficient color contrast,GUT-100,Bug,GUT,Gutenberg,Block Editing   ,Contrast_nonText ,"When the mouse moves over a block, a bright blue outline appears. However when keyboard focus is in a block or any of that block's editing controls, the outline is a very light gray, the contrast of which is below the minimum threshold of 3:1 for interface controls:

* Rendered block border: #e3e5e7 (light gray) on #fff (white): *1.262:1*

This makes it more difficult for low-vision users to see which block they've moved into. If they're using the Arrow keys to move the cursor, the block toolbar does not immediately appear, and therefore the only way for users to identify which block they're in is this pale gray border, and the text cursor.

Sufficient color contrast is important for users who have low-vision or are color-blind, because content with a low contrast ratio may be difficult or impossible for such users to see.

",,Color,".editor-block-list__layout .editor-block-list__block.is-selected>.editor-block-list__block-edit::before {
    outline: 1px solid rgba(145,151,162,.25);
}",All/ Universal,Cognitively Impaired; Low-Vision ,".editor-block-list__layout .editor-block-list__block.is-selected>.editor-block-list__block-edit::before {
    outline: 1px solid #949494;
}",,Darken the `outline` color to achieve a minimum contrast ratio of 3:1 relative to the white background.,Medium,1.4.11 Non-text Contrast (Level AA)  ,
Keyboard focus order doesn't match visual order at high browser zoom,GUT-99,Bug,GUT,Gutenberg,Block Editing; Block Options,Keyboard; Zoom; ,"When users are zoomed-in up to 400%, content is re-arranged such that the focus order differs from the visual order, and focus is able to move to items which are covered by other content.

Specifically:

* Users who choose to open the Block panel from the Options menu do not have their focus moved there, however at higher zoom levels the Block panel is styled to completely cover the viewport like a modal dialog.
* Users who, after making changes in the Block panel and following the skip link back to the selected block, have their focus moved back to the block in question, but again the Block panel remains open and covers the block. Users who instead close the Block panel with its ""Close"" button then have no means to quickly jump back to the Block they're editing.
* The editing toolbar for a block (when there is no Unified Toolbar) is positioned below the block's text. Focus moving forward goes from the invisible ""Add Block"" button, to the toolbar, to the block's text or main area, then finally the second ""Add Block"" and move buttons. The focus jumps back and forth between items whose visual order is different, and this is exacerbated when blocks are very tall, because it also causes the screen to jump around.

Keyboard users benefit from a logical focus order which is consistent with the reading order. Users who have a cognitive disability and have difficulty reading may also be confused by an unexpected or illogical focus order.

Obscuring the focus position is potentially confusing for sighted keyboard users, since it may appear as though no item has focus, or make it unclear as to where the focus position is.

",,Document Structure,"<div id=""..."" class=""..."" data-type=""core/paragraph"" tabindex=""0"" aria-label=""Block: Paragraph"">
    <div class=""..."">
        <div tabindex=""-1"" class=""..."">
            <div class=""..."">
                <button type=""button"" aria-label=""Add block"" ... class=""..."">...</button>
            </div>
        </div>
    </div>
    <div class=""...""></div>
    <div class=""..."">
        <button type=""button"" aria-label=""Move up"" ...>...</button>
        <div ...aria-hidden=""true"" draggable=""true""><svg...>...</svg></div>
        <button type=""button"" aria-label=""Move down"" ...>...</button>
        <span id=""..."" class=""..."">...</span>
    </div>
    <div class=""editor-block-list__block-edit"">
        <div role=""toolbar"" aria-orientation=""horizontal"" class=""..."" aria-label=""Block tools"">
            <div class=""editor-block-toolbar"">...</div>
        </div>
        ...
        <div class=""components-autocomplete"">
            <p aria-label=""Paragraph block"" aria-autocomplete=""list"" role=""textbox"" aria-multiline=""true"" class=""..."" contenteditable=""true""...> What you are reading now is a <strong>text block</strong> the most basic block of all. The text block has its own controls to be moved freely around the post... </p>
        </div>
        ...
    </div>
</div>",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,,,"It would be most ideal if the focus order matched the source order, however since controls are not visibly available until after focus has moved to a block, the visual order should match the focus order when controls are visible.

Additionally, a strong focus style when the block content has focus (such as the dark blue outline shown on mouseover) would assist users in clearly seeing that it is the block content with focus; currently only the user's cursor (and sometimes the page jumping) shows the user that focus has moved to the block content. ",Medium,1.4.10 Reflow (Level AA); 2.1.1 Keyboard (Level A); 2.4.3 Focus Order (Level A) ,
Blocks use custom selection color,GUT-97,Bug,GUT,Gutenberg,Block Editing; Block Options,Selection ,"Blocks use a custom CSS color for text selection.

For Firefox users who have low-vision and use a Windows high-contrast theme, custom selection colors are not honoured, but are not replaced by defaults either. Consequently, these users will not be able to see what text is selected.

",,Color,".editor-block-list__layout .editor-block-list__block ::selection {
    background-color: #b3e7fe;
}",All/ Universal,Low-Vision ; ,,,"Remove custom selection rules, and allow the browser/OS native color to be rendered.",Low,1.3.3 Sensory Characteristics (Level A)  ,
Some content becomes unreadable with text enlarge,GUT-96,Bug,GUT,Gutenberg,Block Editing   ,Text_enlarge ,"Users who need to increase the text size will find that some block content overlaps its containers, and other content.

Specifically, the ""Change Block Type"" dropdown does not grow to encompass the Type blocks, causing them to overflow the dropdown container. Without the container background, it is difficult to read the block type name against the editable page below, when the item is not being hovered over (since hovering adds a background). The words of the type also spill over the text of adjacent types, making the text unreadable.



Some of the actionable buttons, such as setting a heading level within the toolbar, also become difficult to read due to text overlapping.



The ability to resize text is essential for users with low-vision, and may be helpful for users who have a cognitive disability. Catering to zoom alone is not sufficient because the browser's font-size may be increased independently of zoom level.",,Text Content and Typography,".editor-block-types-list__list-item {
    ...
    width: 33.33%;
    ...
}
...
/* hx buttons */
<button type=""button"" aria-label=""Heading 2"" data-subscript=""2"" aria-pressed=""true"" class=""..."">
    <svg ..."" width=""20"" height=""20"" viewBox=""0 0 20 20"">...</svg>
</button>
...
.components-toolbar__control.components-button[data-subscript]::after {
    content: attr(data-subscript);
    ...
    font-size: 13px;
    font-weight: 600;
    line-height: 12px;
    position: absolute;
    right: 8px;
    bottom: 10px;
}",All/ Universal,Low-Vision ; ,".editor-block-types-list__list-item {
    ...
    min-width: 33.33%;
    ...
}
...
/* hx buttons */
<button type=""button"" aria-label=""Heading 2"" data-subscript=""2"" aria-pressed=""true"" class=""..."">
    <svg ..."" viewBox=""0 0 20 20"">...</svg>
</button>
.components-toolbar__control.components-button:not(:disabled).is-active>svg {
    ...
    height: 1em;
    width: 1em;
}
...
.components-toolbar__control.components-button[data-subscript]::after {
    content: attr(data-subscript);
    ...
}",,"Keep width and height minimums to 44px or greater. Set minimum sizes using `min-width` and `min-height`, rather than fixed sizes using `width` and `height`, to allow containers to expand with increases in their content size.

Set SVG sizes in units that will scale with text, such as `em` or `rem`.

Avoid using absolute positioning for text that is close enough to other text to overlap at larger font sizes. Absolutely-positioned elements are outside the layout flow, and cannot be adjusted for by the layout of other elements.",Medium,1.4.4 Resize text (Level AA)  ,
Keyboard operation is confusing and inconsistent,GUT-95,Bug,GUT,Gutenberg,Block Editing   ,Keyboard ,"Keyboard navigation between Blocks, Block controls, and the Block panel, is inconsistent and difficult to use.

In the default setup (no Unified Toolbar), getting controls to appear generally requires moving keyboard focus with the Tab key. Moving between Blocks is meant to be done by moving the cursor with arrow keys. However:

* Some Blocks seem to trap the cursor, specifically the Cover type, however some Paragraph Blocks from the Gutenberg demo do as well (for unknown reasons; creating Paragraph type duplicates of these Blocks does not reproduce the trapping, so it's not clear why this occurs). In order to escape these Blocks, users must use the Tab key, which then adds the additional Tab stops of the toolbars which appear.
* When attempting to copy text within a Block using Shift and Arrow keys, the last line (or first line if starting from the bottom and going back) can't be selected without also beginning to select multiple Blocks. This might be deliberate (to encourage users who are attempting to select all of a Block's content to instead use the dedicated duplicate function) but users should expect to be able to select any text they wish. Additionally, it's common in a multi-line Block to accidentally move the cursor to a previous Block when merely trying to get the cursor moved to the first line (and accidentally move to a later Block while moving the cursor to the last line), especially if a screen reader is running.
* Users who are not using zoom must Shift+Tab backwards from the text to reach the toolbar, which matches the visual order when the toolbar is above the text. However users who are zoomed-in see the toolbar *under* the text, yet still have to Shift+Tab backwards to reach it (see: GUT-99).
* While interacting with the Block's toolbar, focus sometimes ends up at the top of the document. This seems to be intermittent and unintended, but every time it happens it is frustrating.
* After a link is created, moving focus to it again offers an editing popup, however this is not keyboard accessible. It appears to be the only place where users can set whether the link opens in a new tab/window, and therefore this functionality is not available to keyboard users.
* If a Table is being created and the ""Edit Table"" popup is opened, users may attempt to use their Arrow keys to navigate it, however this unexpectedly moves the user focus to the top or bottom of the whole editable area. The only interaction users can safely do is to immediately press Esc to close the dropdown. This happens when the dropdown opens and all of the options are disabled.

In the Unified Toolbar setup, only the ""New Block"" and move controls are in the Tab order, and moving between Blocks is still done by moving the cursor with Arrow keys. Users can use the keyboard shortcut `Alt+F10` to jump focus to the Unified Toolbar (and can then Tab past the Editor Top Bar buttons to the Block toolbar), however there is no way to jump back from the panel to the Block in question.

In both settings, there is no non-exhaustive way of going from a Block to the Block Settings panel, and if somehow the chosen Block is forgotten (i.e. not seen as selected by the editor), then the Block panel goes blank, and therefore the button that bring users back to the Block in question is also lost.
",,Keyboard Accessibility and Focus Control,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"Add some kind of Bypass Block mechanism for keyboard user to move from a selected block to the Block Panel, since this appears to be the only place where font settings, drop cap and colors can be set.

Add a similar Bypass Block mechanism for users who've jumped to the Unified Toolbar, to get back to the selected block without needing to go through the Block panel's skip link.

If opening a popup cannot allow JavaScript to move focus to the first item in the popup automatically (for example, because the popup has no focusable items inside), then the Arrow keys should either move the cursor up or down from the toolbar button (thereby closing the popup), or keep focus there until users close the popup with the Esc key.

In any case, do not allow Arrow keys to move the cursor to the beginning or end of the document; this is the last thing users would expect. Ideally, if there are no available options in a dropdown, perhaps the activating button should have the dropdown replace the options with a message such as ""No options currently available.""

Wait for all content inside a block to receive selection before offering multiple-block selection.

Allow cursor movement to always be able to move between blocks regardless of type (unless there was a good reason for this; if so, explaining the reason to users would then be helpful).

Ensure popups opened from within blocks can be reached by keyboard.
",Medium,2.1.1 Keyboard (Level A); 2.4.1 Bypass Blocks (Level A); 2.4.3 Focus Order (Level A) ,
Changes and updates are not announced to assistive technologies,GUT-94,Bug,GUT,Gutenberg,Block Editing; Block Options, ,"Many of the Block functions are not announced to assistive technologies. Although some functions are announced (such as creating a new block), many other functions are not (such as hiding or showing the Block panel, removing/deleting blocks, duplicating blocks, and actions such as Undo and Redo).

Some actions are quite easy to perform by mistake. For example, when users hit the Enter key while their cursor is at the end of any text or content in a block, this will trigger the creation of a new block. Although this is announced, it's so easy to trigger unintentionally that users may come to rely on the Undo and Redo states to maintain the output they want, and these states are not announced.

Users who are blind or who have low-vision must determine what's changed by navigating around the various blocks, and this may be particularly difficult for users with a cognitive disability. Users attempting to removing several duplicates or blocks which happen to have a lot of similar text must inspect most of the block text to ascertain their current state, and requires users with print disabilities to rely on short-term memory more than sighted users.
",,Dynamic Content,,Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader; Windows - ZoomText; ,Blind; Cognitively Impaired; Low-Vision; ,"<!-- example current existing success status message -->
<div id=""wp-a11y-speak-assertive"" aria-live=""assertive"" aria-relevant=""additions text"" aria-atomic=""true"" class=""screen-reader-text wp-a11y-speak-region"">Link removed.</div>

<!-- example additional status message -->
<div id=""wp-a11y-speak-assertive"" aria-live=""assertive"" aria-relevant=""additions text"" aria-atomic=""true"" class=""screen-reader-text wp-a11y-speak-region"">Block duplicated.</div>",,"Use a short `aria-live` region announcement for actions which makes a visible change to the document or interface and which aren't already announced, such as block duplication or removal, opening and closing the Block panel, and Redo and Undo actions.

An example of the success state being announced is when a link is removed: assistive technologies announce ""Link removed"".

Also consider whether an ""earcon"" (a short noise signalling success or failure) might be appropriate for some actions.

Additionally, it would be helpful to provide the ability to silence these announcements, via a user profile setting, for those who find the announcements unnecessary (such as a sighted or partially-sighted screen reader user).",Medium,3.2.5 Change on Request (Level AAA); 4.1.3 Status Messages (Level AA) ; ,
Insufficient color contrast on block type buttons,GUT-89,Bug,GUT,Gutenberg,Empty Block   ,Contrast_nonText ,"Three Block type buttons are implemented with very light gray SVG elements, the contrast ratio of which is below the minimum threshold of 3:1 for interface components:

* #c9d0d5 (ash grey) on #fff (white):  *1.6:1*

Sufficient color contrast is important for users who have low-vision or are color-blind, because text with a low contrast ratio may be difficult or impossible for such users to see.
 ",,Color,".editor-inserter-with-shortcuts__block {
    ...
    color: rgba(102,120,134,.35);
}
",All/ Universal,Cognitively Impaired; Low-Vision ,".editor-inserter-with-shortcuts__block {
    ...
    color: rgba(102,120,134,.8);
}",,"The SVG elements inherit their `fill` color from parent `<span>` elements, via `currentColor`.

Therefore the parent color needs to be darkened to meet the 3:1 minimum contrast ratio. The button border remaining light grey before user interaction, combined with the even darker hover/focus color plus the visible tooltip, will ensure that the difference between default and interacted elements is still clearly visible.",Medium,1.4.3 Contrast (Minimum) (Level AA)  ,
Image cropping requires mouse and keyboard,GUT-88,Bug,GUT,Gutenberg,Edit Media   , ,"On the Edit Media page, the functionality to crop images relies on a combination of mouse and keyboard interaction.

Although touch can be used to create an initial selection, the handles to adjust the size are only available to mouse users. The instructions in the cropped section also mention that the Shift key can be used to maintain aspect ratio while cropping, however this assumes that users can manipulate both mouse and keyboard at the same time. (And while testing, this functionality did not appear to work anyway; aspect ratio was only maintained after explicitly setting a ratio in the text inputs.)

Users with disabilities may not be able to use a mouse, or may not be able to use a mouse and keyboard at the same time. Making tasks such as this input-agnostic will allow users more freedom and ability to perform the task.



",,Other,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"Firstly, it would be beneficial to low-vision users and users with cognitive disabilities if the crop/aspect ratio and selection inputs were closers to each other (both in layout, and in source order). It would then be easier for such users to move between sections and adjust the input values after making an initial imperfect selection. It would also be more logical to place these fields after the image editing area, rather than before it.

The cropping feature should function for any input mode, i.e. it should work from only the keyboard, only the mouse, only touch, or any combination of those.

For combined functions such as maintaining an aspect ratio while resizing the crop region, have a separate checkbox which users can select to maintain (or ignore) aspect ratio. The current Shift key functionality can be retained, but only as a shortcut for users who can use mouse and keyboard at the same time, it should not be the only way of doing this.",Medium,2.1.1 Keyboard (Level A); 2.5.6 Concurrent Input Mechanisms (Level AAA) ; ,
Permalink and its Edit button could be clearer,GUT-87,Warning,GUT,Gutenberg,Title Block   ,Forms; Semantics; ,"The ""Permalink"" section of the Title Block has an ""Edit"" button which is not semantically associated with the permalink except by context. Similarly, the permalink itself has the word ""Permalink:"" before it, but this is not explicitly associated either.

Although association by context is generally sufficient for content like this, it would nevertheless be helpful to add a more descriptive label to the button, and to describe the fact that the link is a permalink within its screen reader text.

These changes would help to make the meaning clearer to screen reader users, especially those with a cognitive disability.



",,Forms,"<span class=""editor-post-permalink__label"">Permalink:</span>
<a target=""_blank"" class=""..."" href=""http://142.93.114.99/?p=19"" rel=""external noreferrer noopener"">
    http://142.93.114.99/2019/01/31/gutenberg-editor-demo-edited-for-output-scoping/‎
    <span class=""screen-reader-text"">(opens in a new tab)</span>
    ...
</a>
<button type=""button"" class=""..."">Edit</button>",All/ Universal,Blind; Cognitively Impaired ,"<span class=""editor-post-permalink__label"">Permalink:</span>
<a target=""_blank"" class=""..."" href=""http://142.93.114.99/?p=19"" rel=""external noreferrer noopener"">
    http://142.93.114.99/2019/01/31/gutenberg-editor-demo-edited-for-output-scoping/‎
    <span class=""screen-reader-text"">(permalink opens in a new tab)</span>
    ...
</a>
<button aria-label=""Edit permalink"" type=""button"" class=""..."">Edit</button>",,"Add an `aria-label` to the ""Edit"" button which explains what it does more clearly, and amend the `.screen-reader-text` of the permalink to do the same.",Low,1.3.1 Info and Relationships (Level A); 3.3.2 Labels or Instructions (Level A) ; ,
Visible labels are not available on editing buttons,GUT-85,Warning,GUT,Gutenberg,Edit Media   ,AUX ,"On the Edit Media page, buttons for editing the selected media image have accessible names to label them for assistive technology users, however these names are not available to sighted users.

Since some of the icons are quite cryptic, and there is an ambiguity between two sets of icons which both appear to mean Rotate (see GUT-84), this may be confusing to users with cognitive disabilities. Such users may find themselves having to interact with buttons just to figure out what they do.

 ",,Text Content and Typography,,All/ Universal,Cognitively Impaired; Low-Vision ,,,"Add visible text labels to the image editing buttons.

One method, which would be consistent with the rest of the editor, would be to use keyboard-accessible tooltips for this.

A better method would be to provide a user setting for all icon controls, so that users can specify whether to show icons-only, labels-only, or icons and labels together.",Medium,  ,
Undo and Redo icons are not consistent throughout the interface,GUT-84,Bug,GUT,Gutenberg,Edit Media   ,AUX ,"On the Edit Media page, there are various icon buttons for performing actions to the selected media image, along with ""Undo"" and ""Redo"" buttons.

These two buttons use different icons than the ""Undo"" and ""Redo"" buttons in the Editor Top Bar.

Ideally these buttons' icons would be consistent with the ones in the Editor Top Bar, especially since these icons look like Rotate icons (causing the actual Rotate buttons to require more complex glyphs to appear more clearly as Rotate-the-image), while the Editor Top Bar icons do not look like Rotate buttons.


",,Images and Non-text Content,,All/ Universal,Cognitively Impaired ; ,,,"Use the same icons for the ""Undo"" and ""Redo"" buttons as are used in the Editor Top Bar.",Low,3.2.4 Consistent Identification (Level AA)  ,
Page content is an invisible Tab stop,GUT-83,Bug,GUT,Gutenberg,Edit Media   ,Focus ,"On the Edit Media page, the main content element is an invisible Tab stop, because it's in the Tab order but does not show focus.

This is potentially confusing for sighted keyboard users, since it will make it appear as though no item has focus, or make it unclear as to where the focus position is. Screen reader users will know they are on the main area due to the `aria-label`, but it may be unclear to them why the whole area is focusable.

",,Document Structure,"<div id=""wpbody-content"" aria-label=""Main content"" tabindex=""0"" style=""overflow: hidden;"">...</div>

a, div {
    outline: 0;
}
#wpbody-content {
    ...
    overflow: visible !important;
}",All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,"<div id=""wpbody-content"" aria-label=""Main content"" tabindex=""-1"" style=""overflow: hidden;"">...</div>",,"If the `tabindex` is being used to allow the main content area to be a working destination for skip links, then use `tabindex=""-1""` instead. This will allow the element to be focusable without placing it in the Tab order.

This change will not affect keyboard users' ability to scroll the page when the element has focus.",Medium,2.1.1 Keyboard (Level A); 2.4.7 Focus Visible (Level AA) ; ,
